restID,restname,restaddr,restphone,longitude,latitude,restlocation
NULL,공항점,서울특별시 강서구 마곡중앙6로 16,02-3361-1101,126.829055,37.5603863,distance()
NULL,목동점,서울특별시 강서구 목동동로 293,02-2168-2811,126.875795,37.5281626,distance()
NULL,가산점,서울특별시 금천구 디지털로10길 9,02-2136-9971,126.889062,37.4775668,distance()
NULL,신대방점,서울특별시 동작구 보라매로5가길 16,02-821-0671,126.924084,37.4913172,distance()
NULL,서울대점,서울특별시 관악구 봉천동 남부순환로 1840,02-884-4761,126.954282,37.4803409,distance()
NULL,여의도점,서울특별시 영등포구 국제금융로8길 6,02-761-2961,126.929709,37.5217385,distance()
NULL,센트럴시티점,서울특별시 서초구 신반포로 176,02-592-2771,127.003599,37.5043439,distance()
NULL,강남점,서울특별시 강남구 강남대로 502,02-515-4791,127.023663,37.5071529,distance()
NULL,도곡점,서울특별시 강남구 남부순환로 2909,02-564-8601,127.057356,37.4921942,distance()
NULL,코엑스점,서울 강남구 테헤란로87길 46,02-558-4491,127.058796,37.512502,distance()
NULL,잠실점,서울특별시 송파구 송파대로 466,02-418-4071,127.10522,37.5078572,distance()
NULL,천호점,서울특별시 강동구 올림픽로 660,02-471-1791,127.124501,37.5401484,distance()
NULL,합정점,서울특별시 마포구 월드컵로 3길 14,02-338-8591,126.911846,37.5510357,distance()
NULL,신촌점,서울특별시 서대문구 연세로 12길 33,02-3147-1871,126.93875,37.5590989,distance()
NULL,용산아이파크몰점,서울특별시 용산구 한강대로 23길 55,02-2012-0751,126.963935,37.529584,distance()
NULL,명동점,서울특별시 중구 명동 3길 36,02-779-0212,126.983714,37.565331,distance()
NULL,건대스타시티점,서울특별시 광진구 능동로 92,02-2218-3021,127.071115,37.5387775,distance()
NULL,동대문점,서울특별시 중구 장충단로 13길 20,02-2283-2902,127.00771,37.5686298,distance()
NULL,미아점,서울특별시 강북구 도봉로 62,02-944-2661,127.030502,37.6141982,distance()
NULL,노원점,서울특별시 노원구 동일로 1419,02-938-5471,127.059824,37.6552901,distance()
NULL,상봉점,서울특별시 중랑구 망우로 293,02-434-8491,127.085131,37.5965218,distance()
